Freq.	V(v_adc_in)
5.37031796370250e+04	(2.85894100858433e+01dB,-9.84411226971529e+01°)
5.49540873857622e+04	(2.79343736742573e+01dB,-1.01179925466341e+02°)
5.62341325190346e+04	(2.72723793709882e+01dB,-1.03907538507733e+02°)
5.75439937337154e+04	(2.66034697445591e+01dB,-1.06623593059083e+02°)
5.88843655355586e+04	(2.59276897484508e+01dB,-1.09327727178302e+02°)
6.02559586074355e+04	(2.52450866595165e+01dB,-1.12019586432775e+02°)
6.16595001861479e+04	(2.45557100117624e+01dB,-1.14698824542544e+02°)
6.30957344480190e+04	(2.38596115264468e+01dB,-1.17365103977463e+02°)
6.45654229034652e+04	(2.31568450393360e+01dB,-1.20018096507759e+02°)
6.60693448007593e+04	(2.24474664259643e+01dB,-1.22657483708831e+02°)
6.76082975391979e+04	(2.17315335256943e+01dB,-1.25282957421651e+02°)
6.91830970918933e+04	(2.10091060653196e+01dB,-1.27894220170927e+02°)
7.07945784384134e+04	(2.02802455828439e+01dB,-1.30490985543177e+02°)
7.24435960074987e+04	(1.95450153520642e+01dB,-1.33072978528399e+02°)
7.41310241300914e+04	(1.88034803083788e+01dB,-1.35639935827773e+02°)
7.58577575029180e+04	(1.80557069762918e+01dB,-1.38191606132121e+02°)
7.76247116628688e+04	(1.73017633988639e+01dB,-1.40727750374345e+02°)
7.94328234724277e+04	(1.65417190693086e+01dB,-1.43248141959803e+02°)
8.12830516164095e+04	(1.57756448648438e+01dB,-1.45752566978717e+02°)
8.31763771102667e+04	(1.50036129828326e+01dB,-1.48240824404801e+02°)
8.51138038202372e+04	(1.42256968790452e+01dB,-1.50712726282655e+02°)
8.70963589956076e+04	(1.34419712079597e+01dB,-1.53168097908382e+02°)
8.91250938133741e+04	(1.26525117648268e+01dB,-1.55606778005983e+02°)
9.12010839355905e+04	(1.18573954291762e+01dB,-1.58028618901852e+02°)
9.33254300796986e+04	(1.10567001094437e+01dB,-1.60433486699959e+02°)
9.54992586021431e+04	(1.02505046882720e+01dB,-1.62821261458675e+02°)
9.77237220955805e+04	(9.43888896815053e+00dB,-1.65191837371409e+02°)
1.00000000000000e+05	(8.62193361683070e+00dB,-1.67545122950063e+02°)
